"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A"
"1855","CD3EAP","Endo",0.0547945205479452,0.121856866537718,0.0549682875264271,0.0503778337531486,0.0989010989010989,0.089974293059126,-0.0961805639467115,0.539918577390996,-3.67155290055886
"1857","CD4","Endo",0.547945205479452,0.39651837524178,0.517970401691332,0.584382871536524,0.776556776556777,0.740359897172236,-0.525981012407683,0.438507243396133,-0.751573034980808
"1858","CD40","Endo",0.0296803652968037,0.0193423597678917,0.0232558139534884,0.0201511335012594,0.0512820512820513,0.025706940874036,-0.330869601828572,0.99582629440266,-5.14629777199219
"1860","CD44","Endo",0.091324200913242,0.0541586073500967,0.0739957716701903,0.0730478589420655,0.19047619047619,0.0694087403598972,-0.466622467249567,1.17280806868951,-3.4411475822076
"1861","CD46","Endo",0.00684931506849315,0.00967117988394584,0.0147991543340381,0.0251889168765743,0.0183150183150183,0.0205655526992288,-1.0915786307717,0.717348734432199,-5.97499370762724
"1862","CD47","Endo",1.32648401826484,1.07930367504836,1.00211416490486,1.32241813602015,1.68315018315018,1.27506426735219,-0.328052426767973,0.323186159250093,0.357746123368913
"1863","CD48","Endo",0.28310502283105,0.25531914893617,0.41014799154334,0.327455919395466,0.342490842490842,0.282776349614396,-0.0324146449049319,0.504143953616531,-1.65797989802162
"1864","CD5","Endo",0.0091324200913242,0.00967117988394584,0.0126849894291755,0.00755667506297229,0.0128205128205128,0.0077120822622108,0.194828483967367,0.566396103086144,-6.65404239758764
"1865","CD52","Endo",0.0045662100456621,0.00773694390715667,0.0126849894291755,0.0125944584382872,0.0128205128205128,0.0025706940874036,0.0368514211898964,1.99657210331102,-6.82353945077235
"1866","CD53","Endo",0.23972602739726,0.176015473887814,0.26215644820296,0.267002518891688,0.371794871794872,0.25706940874036,-0.402000437825969,0.593285532661708,-1.93074260214986
"1868","CD59","Endo",1.84018264840183,1.44294003868472,1.56659619450317,1.97732997481108,1.66666666666667,1.53984575835476,-0.0956038035904319,0.11661210249907,0.741799356759773
"1869","CD5L","Endo",2.63013698630137,1.47969052224371,2.3107822410148,3.24685138539043,3.80952380952381,3.22365038560411,-0.716177529901471,0.568191874473673,1.47686858130376
"1870","CD6","Endo",0.0114155251141553,0.00773694390715667,0.00211416490486258,0.0125944584382872,0.0201465201465201,0.012853470437018,-1.37549497791039,1.23111136678446,-6.48765196804047
"1871","CD63","Endo",1.1027397260274,1.16247582205029,0.661733615221987,1.28211586901763,1.35531135531136,1.03598971722365,-0.361848382948966,0.246685724379445,0.137583548447859
"1872","CD68","Endo",0.598173515981735,0.553191489361702,0.689217758985201,0.717884130982368,0.91025641025641,0.701799485861183,-0.335926673064609,0.351882102323829,-0.524734258219869
"1873","CD69","Endo",0.0045662100456621,0.00193423597678917,0.0105708245243129,0.00503778337531486,0.0146520146520147,0.012853470437018,-1.11504174006883,1.5658054838542,-6.91805574154447
"1874","CD7","Endo",0.0410958904109589,0.0290135396518375,0.0591966173361522,0.0453400503778338,0.0659340659340659,0.0616966580976864,-0.46192240156795,0.626941209163968,-4.31102023637126
"1876","CD72","Endo",0.0159817351598174,0.00773694390715667,0.0147991543340381,0.0277078085642317,0.00915750915750916,0.0205655526992288,-0.503925029871984,0.27649817614611,-5.96655537341582
"1877","CD74","Endo",2.94063926940639,2.2495164410058,4.01057082452431,2.95717884130982,4.81868131868132,3.41131105398458,-0.291211292951108,0.709936456228398,1.7646786170156
"1878","CD79B","Endo",0.04337899543379,0.00773694390715667,0.040169133192389,0.0403022670025189,0.0311355311355311,0.0462724935732648,-0.702219345337327,1.14204928295105,-4.84341965356756
"1880","CD81","Endo",10.6506849315068,8.45841392649903,13.2050739957717,15.360201511335,6.01831501831502,6.16709511568123,0.353735330127048,0.821984838542824,3.31855267917284
